crf:	0.1
captureTarget:	50.0
projectLength:	30
SourceCell	SourceLabel	CaptureAmount	Cost
178898	6	17.901	1301.38412
414746	14	0.6260000000000048	179.00930000000045
270438	16	20.331	1692.77221
213487	17	6.129	823.44298
668810	20	5.013	787.26584
Sink	SinkLabel	InjectAmount	Cost
580341	4	5.013	26.496419999999997
657366	6	17.901	70.63713
480732	7	27.086000000000006	95.88652000000003
EdgeSrc	EdgeSnk	FlowAmount	Cost
178898	180220	17.901	0.5055638556579292
180220	243696	17.901	29.331812886820376
212167	254554	6.129	14.798344203188059
213487	212167	6.129	0.17675368752092901
241059	622999	17.901	85.67030038736814
243696	241059	17.901	2.0336419959573453
245397	248042	26.46	7.309096888889484
248042	250684	26.46	7.689841476620805
250684	267887	26.46	10.687830356395
254554	269118	6.129	4.344796724332026
267887	471474	26.46	67.84448834928995
269118	245397	26.46	20.389322371344285
270438	269118	20.331	1.0870820490078774
412096	480732	0.6260000000000048	5.883748544836422
414746	412096	0.6260000000000048	1.5541208159479591
471474	480732	26.46	4.99764746258358
581660	580341	5.013	0.8084507165696516
608066	581660	5.013	2.5140073196722064
618626	608066	5.013	1.494472865094813
622999	624321	17.901	0.27783238914534836
624321	646791	17.901	5.319807057733884
646791	648113	17.901	0.31199210912223546
648113	649437	17.901	2.3183063290980708
649437	657366	17.901	1.7467003481514936
662206	618626	5.013	4.162571313512672
664847	662206	5.013	0.26807634726983226
668810	664847	5.013	2.1636083145793554
